 S338   35.97677 -120.54982 -1326.0000
 S339   35.97685 -120.54973 -1335.0000
 S340   35.97695 -120.54965 -1344.0000
 S341   35.97703 -120.54957 -1353.0000
 S342   35.97712 -120.54948 -1362.0000
 S343   35.97720 -120.54940 -1371.0000
 S344   35.97730 -120.54932 -1380.0000
 S345   35.97738 -120.54923 -1389.0000
 S346   35.97747 -120.54913 -1398.0000
 S347   35.97755 -120.54905 -1407.0000
 S348   35.97763 -120.54897 -1416.0000
 S349   35.97772 -120.54888 -1425.0000
 S350   35.97780 -120.54880 -1434.0000
 S351   35.97790 -120.54870 -1443.0000
 S352   35.97798 -120.54862 -1452.0000
 S353   35.97807 -120.54853 -1461.0000
 S354   35.97815 -120.54845 -1469.0000
 S355   35.97823 -120.54837 -1478.0000
 S356   35.97833 -120.54828 -1487.0000
 S357   35.97842 -120.54820 -1497.0000
 S358   35.97850 -120.54812 -1506.0000
 S359   35.97858 -120.54803 -1515.0000
 S360   35.97868 -120.54795 -1523.0000
 S361   35.97877 -120.54785 -1532.0000
 S362   35.97885 -120.54777 -1541.0000
 S363   35.97895 -120.54768 -1550.0000
 S364   35.97903 -120.54760 -1559.0000
 S365   35.97912 -120.54752 -1567.0000
 S366   35.97920 -120.54743 -1576.0000
 S367   35.97930 -120.54735 -1585.0000
 S368   35.97938 -120.54727 -1594.0000
 S369   35.97947 -120.54718 -1603.0000
 S370   35.97955 -120.54710 -1612.0000
 S371   35.97965 -120.54702 -1621.0000
 S372   35.97973 -120.54693 -1630.0000
 S373   35.97982 -120.54685 -1639.0000
 S374   35.97990 -120.54677 -1649.0000
 S375   35.97998 -120.54668 -1658.0000
 S376   35.98007 -120.54660 -1667.0000
 S377   35.98015 -120.54652 -1676.0000
 S378   35.98023 -120.54642 -1685.0000
 S380   35.98042 -120.54625 -1703.0000
 Tank   35.98538 -120.54173 681.0000
 Cvcr   35.99465 -120.52802 807.0000
 Karl   36.00510 -120.51790 980.0000
 Kool   36.00308 -120.54710 797.0000
 Leep   35.99287 -120.50652 983.0000
 Lccb   35.98033 -120.51743 691.0000
 Flip   35.97143 -120.53273 721.0000
 Pies   35.99685 -120.55772 640.0000
 Pole   36.00523 -120.57375 555.0000
 Vine   35.94627 -120.53920 587.0000
 Crak   35.95548 -120.52238 686.0000
 Pigh   35.97013 -120.56018 629.0000
 AHAB   35.97668 -120.54452 770.0000
 ALEX   35.97883 -120.46467 762.0000
 BART   36.01288 -120.65522 567.0000
 BECH   35.95087 -120.54747 656.0000
 BUMP   35.98058 -120.55225 780.0000
 BURN   35.98450 -120.56983 729.0000
 Burn   35.98400 -120.56935 703.0000
 BUR3   35.98313 -120.56842 671.0000
 BUZZ   36.01660 -120.60493 637.0000
 CABU   36.01483 -120.53183 906.0000
 CANS   35.90038 -120.56625 707.0000
 CCRB   35.95717 -120.55162 350.0000
 CGAS   35.96907 -120.49997 634.0000
